domain,subject,image_path,ground_truth_path,baseline_raw_prediction_path,baseline_filtered_prediction_path,baseline_probability_path,level0_raw_prediction_path,level0_filtered_prediction_path,level0_probability_path,level0_inference_seconds,baseline_raw_dice,baseline_raw_hd95_mm,baseline_raw_assd_mm,baseline_raw_fp_voxels,baseline_raw_fn_voxels,baseline_raw_surface_dice_0.1mm,baseline_raw_surface_dice_0.2mm,baseline_raw_surface_dice_0.5mm,baseline_raw_surface_dice_1mm,baseline_raw_iou,baseline_raw_precision,baseline_raw_recall,baseline_raw_fp_fn_ratio,baseline_raw_total_residual_error,baseline_filtered_dice,baseline_filtered_hd95_mm,baseline_filtered_assd_mm,baseline_filtered_fp_voxels,baseline_filtered_fn_voxels,baseline_filtered_surface_dice_0.1mm,baseline_filtered_surface_dice_0.2mm,baseline_filtered_surface_dice_0.5mm,baseline_filtered_surface_dice_1mm,baseline_filtered_iou,baseline_filtered_precision,baseline_filtered_recall,baseline_filtered_fp_fn_ratio,baseline_filtered_total_residual_error,level0_raw_dice,level0_raw_hd95_mm,level0_raw_assd_mm,level0_raw_fp_voxels,level0_raw_fn_voxels,level0_raw_surface_dice_0.1mm,level0_raw_surface_dice_0.2mm,level0_raw_surface_dice_0.5mm,level0_raw_surface_dice_1mm,level0_raw_iou,level0_raw_precision,level0_raw_recall,level0_raw_fp_fn_ratio,level0_raw_total_residual_error,level0_filtered_dice,level0_filtered_hd95_mm,level0_filtered_assd_mm,level0_filtered_fp_voxels,level0_filtered_fn_voxels,level0_filtered_surface_dice_0.1mm,level0_filtered_surface_dice_0.2mm,level0_filtered_surface_dice_0.5mm,level0_filtered_surface_dice_1mm,level0_filtered_iou,level0_filtered_precision,level0_filtered_recall,level0_filtered_fp_fn_ratio,level0_filtered_total_residual_error
CAMRI,064,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-064/ses-1/anat/sub-064_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-064_ses-1_acq-RARE_T2w_077.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/camri/064_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/native_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/filtered_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/probability_maps/camri/064_probability.nii.gz,21.910351125000002,0.9865218659787482,0.20000000298023224,0.04441593787253673,2958,4064,0.8106220815532879,0.8106220815532879,0.9959833657408065,0.996551087897583,0.9734022203956714,0.9886205822045603,0.9844320414941257,0.7278543307086615,7022,0.9869860027998241,0.20000000298023224,0.03869130370559149,2713,4064,0.8134506921893694,0.8134506921893694,0.9994587819745913,0.9998860593630718,0.9743063822688636,0.989553250313826,0.9844320414941257,0.6675688976377953,6777,0.9854629656318757,0.20000000298023224,0.046800007597397116,2931,4634,0.7991845927953356,0.7991845927953356,0.9963933912101384,0.9965644556586694,0.9713425259489356,0.9886984954462379,0.9822485433769139,0.6324989210185585,7565,0.9859195545934474,0.20000000298023224,0.04102930497593628,2690,4634,0.8019396921668479,0.8019396921668479,0.9998283458259427,1.0,0.9722301214458233,0.9896181084888366,0.9822485433769139,0.5804920155373328,7324
CAMRI,007,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-007/ses-1/anat/sub-007_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-007_ses-1_acq-RARE_T2w_123.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/camri/007_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/native_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/filtered_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/probability_maps/camri/007_probability.nii.gz,10.050435583999999,0.9861910044061033,0.10000000149011612,0.013673964349371346,1852,2169,0.8985573164664914,0.979518157913439,0.9988913367919835,1.0,0.9727581908349368,0.9872657888403754,0.9851185575498106,0.8538497003227293,4021,0.9861910044061033,0.10000000149011612,0.013673964349371346,1852,2169,0.8985573164664914,0.979518157913439,0.9988913367919835,1.0,0.9727581908349368,0.9872657888403754,0.9851185575498106,0.8538497003227293,4021,0.9865487504641919,0.10000000149011612,0.012872791401213599,1618,2294,0.9006309372908151,0.9820118781422243,0.9994445473060545,1.0,0.9734545701296058,0.9888472249028095,0.9842609363850925,0.7053182214472538,3912,0.9865487504641919,0.10000000149011612,0.012872791401213599,1618,2294,0.9006309372908151,0.9820118781422243,0.9994445473060545,1.0,0.9734545701296058,0.9888472249028095,0.9842609363850925,0.7053182214472538,3912
CAMRI,043,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-043/ses-1/anat/sub-043_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-043_ses-1_acq-RARE_T2w_019.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/camri/043_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/native_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/filtered_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/probability_maps/camri/043_probability.nii.gz,10.010617791999998,0.9866273670913678,0.10000000149011612,0.015312004563230142,1951,1606,0.9047721015601101,0.9860966656469868,0.996971550933007,0.9974151116549403,0.9736076691349964,0.9853493331731347,0.9879087206282045,1.2148194271481942,3557,0.9872546290374762,0.10000000149011612,0.01119174731118449,1782,1606,0.9071168974559507,0.9886522212510159,0.999555289751729,1.0,0.9748300583187846,0.9866014030180678,0.9879087206282045,1.1095890410958904,3388,0.9860174196813694,0.10000000149011612,0.01458943654385309,1407,2295,0.8991485568499678,0.9826791258107153,0.9980942427688808,0.9986014200965174,0.9724204723236236,0.9893356577102361,0.9827213660284739,0.6130718954248366,3702,0.986356440357128,0.10000000149011612,0.012495613016133526,1316,2295,0.9004078491727587,0.9840554059253559,0.9994921123509042,1.0,0.9730801631143814,0.9900185067200631,0.9827213660284739,0.5734204793028322,3611
CAMRI,078,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-078/ses-1/anat/sub-078_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-078_ses-1_acq-RARE_T2w_069.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/camri/078_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/native_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/filtered_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/probability_maps/camri/078_probability.nii.gz,21.421238791000007,0.988743661925794,0.20000000298023224,0.03225822499561905,3143,2367,0.8497372720448625,0.8497372720448625,0.9970415507572747,0.9997056269410224,0.977737913424321,0.9871787026952056,0.9903135908464047,1.3278411491339248,5510,0.9888709318219431,0.20000000298023224,0.03164703490536551,3080,2367,0.8505259436047026,0.8505259436047026,0.9978932791184183,0.9997053537228557,0.9779868494966517,0.9874324699276958,0.9903135908464047,1.3012251795521756,5447,0.9876453220529159,0.20000000298023224,0.035783257937602404,2853,3181,0.8335497963280005,0.8335497963280005,0.9978599681209044,0.999483440580908,0.975592194679956,0.9883090540291352,0.9869824809811633,0.8968877711411506,6034,0.9876857679911871,0.20000000298023224,0.035427104696152935,2833,3181,0.8337959135467108,0.8337959135467108,0.9981546002125901,0.9995866304476202,0.9756711273645204,0.9883900579882384,0.9869824809811633,0.890600440113172,6014
CAMRI,009,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-009/ses-1/anat/sub-009_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-009_ses-1_acq-RARE_T2w_060.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/camri/009_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/native_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/filtered_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/probability_maps/camri/009_probability.nii.gz,10.238856041999995,0.986199096751515,0.10000000149011612,0.011516787252836285,2299,1313,0.9012156407278359,0.9890050329074719,0.999845141308556,1.0,0.9727739377539253,0.9824976780303607,0.9899285100638193,1.750952018278751,3612,0.986199096751515,0.10000000149011612,0.011516787252836285,2299,1313,0.9012156407278359,0.9890050329074719,0.999845141308556,1.0,0.9727739377539253,0.9824976780303607,0.9899285100638193,1.750952018278751,3612,0.9867574262163911,0.10000000149011612,0.012115806258648705,1963,1496,0.9043060718711277,0.9866480793060719,0.998590458488228,1.0,0.9738610000680112,0.9849963694730004,0.988524791359843,1.3121657754010696,3459,0.9867574262163911,0.10000000149011612,0.012115806258648705,1963,1496,0.9043060718711277,0.9866480793060719,0.998590458488228,1.0,0.9738610000680112,0.9849963694730004,0.988524791359843,1.3121657754010696,3459
CAMRI,099,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-099/ses-1/anat/sub-099_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-099_ses-1_acq-RARE_T2w_014.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/camri/099_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/native_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/filtered_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/probability_maps/camri/099_probability.nii.gz,10.407345582999994,0.9866599046035527,0.10000000149011612,0.013146782664068516,2884,1272,0.9026306708077831,0.9825197101218444,0.997849804889703,1.0,0.9736710400445996,0.9815809473932953,0.9917916948988481,2.2672955974842766,4156,0.9866694057565827,0.10000000149011612,0.013109839370708443,2881,1272,0.9026666135733152,0.9825588340700036,0.9978895392824434,1.0,0.9736895455063797,0.9815997547485534,0.9917916948988481,2.264937106918239,4153,0.9877063711554206,0.10000000149011612,0.011184070869723237,2063,1751,0.9123581756028784,0.9864194410821883,0.9990556124552746,0.9999467950679028,0.9757113381053061,0.9867140658307412,0.98870067434582,1.17818389491719,3814,0.9877764167365096,0.10000000149011612,0.01093235825687257,2041,1751,0.9126252345028539,0.9867081786612382,0.9993480488032038,1.0,0.9758480567621619,0.9868538855431387,0.98870067434582,1.165619645916619,3792
Mouse,POLYIC_20190510_mouse34__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/mouse/POLYIC_20190510_mouse34__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/native_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/probability_maps/mouse/POLYIC_20190510_mouse34__E2_P1_probability.nii.gz,9.256425415999999,0.9666573535191859,0.20000000298023224,0.0471528564906049,4178,2863,0.6803614178701058,0.9180631709012279,0.9995623857698149,1.0,0.935466427144245,0.9606750562389993,0.9727146233607807,1.4593084177436255,7041,0.9666573535191859,0.20000000298023224,0.0471528564906049,4178,2863,0.6803614178701058,0.9180631709012279,0.9995623857698149,1.0,0.935466427144245,0.9606750562389993,0.9727146233607807,1.4593084177436255,7041,0.9545222658170317,0.3999999165534973,0.07730688971276548,7786,2020,0.6181203213210973,0.8598572458902236,0.969409833619339,1.0,0.9130010468974573,0.9296619509639186,0.9807487038731321,3.8544554455445543,9806,0.9545222658170317,0.3999999165534973,0.07730688971276548,7786,2020,0.6181203213210973,0.8598572458902236,0.969409833619339,1.0,0.9130010468974573,0.9296619509639186,0.9807487038731321,3.8544554455445543,9806
Mouse,POLYIC_20190510_mouse35__E3_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/mouse/POLYIC_20190510_mouse35__E3_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/native_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/probability_maps/mouse/POLYIC_20190510_mouse35__E3_P1_probability.nii.gz,9.199072958000002,0.9670163046241893,0.20000000298023224,0.044364055717833584,3828,3307,0.6780888774723863,0.9239147187259183,0.9983303365014128,1.0,0.9361389816248534,0.9646928610957388,0.9693509671081288,1.157544602358633,7135,0.9670163046241893,0.20000000298023224,0.044364055717833584,3828,3307,0.6780888774723863,0.9239147187259183,0.9983303365014128,1.0,0.9361389816248534,0.9646928610957388,0.9693509671081288,1.157544602358633,7135,0.9561755158559009,0.3162277707289988,0.07024429188696316,7060,2593,0.6122836851055317,0.8537561268380515,0.9881714514354306,1.0,0.9160309327673345,0.9371696064645889,0.9759682666197091,2.722715001928268,9653,0.9561755158559009,0.3162277707289988,0.07024429188696316,7060,2593,0.6122836851055317,0.8537561268380515,0.9881714514354306,1.0,0.9160309327673345,0.9371696064645889,0.9759682666197091,2.722715001928268,9653
Mouse,POLYIC_20190510_mouse37__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/mouse/POLYIC_20190510_mouse37__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/native_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/probability_maps/mouse/POLYIC_20190510_mouse37__E2_P1_probability.nii.gz,9.188196625000003,0.9719678572459316,0.20000000298023224,0.041217050607011085,3589,3210,0.706282722513089,0.9318657782008567,0.9987148976677772,1.0,0.9454644624652084,0.9704514206206107,0.9734890404849607,1.118068535825545,6799,0.9719678572459316,0.20000000298023224,0.041217050607011085,3589,3210,0.706282722513089,0.9318657782008567,0.9987148976677772,1.0,0.9454644624652084,0.9704514206206107,0.9734890404849607,1.118068535825545,6799,0.9685758767617175,0.22360680108197992,0.06693035194244894,4793,2877,0.6854853735792807,0.9111235326998323,0.9940376374138252,0.9948062232159494,0.9390665342601787,0.9610318866973446,0.976239242827175,1.6659714980882865,7670,0.9694894402296493,0.20000000298023224,0.046836470860281296,4563,2877,0.6891126199953173,0.9159447436197612,0.9992741746663545,1.0,0.940785546579649,0.9628323341587385,0.976239242827175,1.5860271115745568,7440
Mouse,POLYIC_20190510_mouse38__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/mouse/POLYIC_20190510_mouse38__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/native_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/full_resolution_level0_decoder/probability_maps/mouse/POLYIC_20190510_mouse38__E2_P1_probability.nii.gz,9.021961084000012,0.9714357314760006,0.20000000298023224,0.038695616814109254,3783,2828,0.7073278399058269,0.940577790857367,0.9995830880910339,1.0,0.9444579801221572,0.9674437817881393,0.9754607615146993,1.3376944837340876,6611,0.9714357314760006,0.20000000298023224,0.038695616814109254,3783,2828,0.7073278399058269,0.940577790857367,0.9995830880910339,1.0,0.9444579801221572,0.9674437817881393,0.9754607615146993,1.3376944837340876,6611,0.9669618718321144,0.22360680108197992,0.05170148888908144,5310,2401,0.6718232044198895,0.9064376651453279,0.9994715349507567,0.9998558731683882,0.9360369626889194,0.9550582719016868,0.9791659435632224,2.2115785089546023,7711,0.9669867304223385,0.22360680108197992,0.05101515828660248,5304,2401,0.6719200461272343,0.906568325965789,0.999615606380934,1.0,0.9360835517802037,0.9551067737648861,0.9791659435632224,2.209079550187422,7705
