domain,subject,image_path,ground_truth_path,baseline_raw_prediction_path,baseline_filtered_prediction_path,baseline_probability_path,unetr_style_raw_prediction_path,unetr_style_filtered_prediction_path,unetr_style_probability_path,baseline_raw_dice,baseline_raw_hd95_mm,baseline_raw_assd_mm,baseline_raw_fp_voxels,baseline_raw_fn_voxels,baseline_raw_surface_dice_0.1mm,baseline_raw_surface_dice_0.2mm,baseline_raw_surface_dice_0.5mm,baseline_raw_surface_dice_1mm,baseline_raw_iou,baseline_raw_precision,baseline_raw_recall,baseline_raw_fp_fn_ratio,baseline_raw_total_residual_error,baseline_filtered_dice,baseline_filtered_hd95_mm,baseline_filtered_assd_mm,baseline_filtered_fp_voxels,baseline_filtered_fn_voxels,baseline_filtered_surface_dice_0.1mm,baseline_filtered_surface_dice_0.2mm,baseline_filtered_surface_dice_0.5mm,baseline_filtered_surface_dice_1mm,baseline_filtered_iou,baseline_filtered_precision,baseline_filtered_recall,baseline_filtered_fp_fn_ratio,baseline_filtered_total_residual_error,unetr_style_raw_dice,unetr_style_raw_hd95_mm,unetr_style_raw_assd_mm,unetr_style_raw_fp_voxels,unetr_style_raw_fn_voxels,unetr_style_raw_surface_dice_0.1mm,unetr_style_raw_surface_dice_0.2mm,unetr_style_raw_surface_dice_0.5mm,unetr_style_raw_surface_dice_1mm,unetr_style_raw_iou,unetr_style_raw_precision,unetr_style_raw_recall,unetr_style_raw_fp_fn_ratio,unetr_style_raw_total_residual_error,unetr_style_filtered_dice,unetr_style_filtered_hd95_mm,unetr_style_filtered_assd_mm,unetr_style_filtered_fp_voxels,unetr_style_filtered_fn_voxels,unetr_style_filtered_surface_dice_0.1mm,unetr_style_filtered_surface_dice_0.2mm,unetr_style_filtered_surface_dice_0.5mm,unetr_style_filtered_surface_dice_1mm,unetr_style_filtered_iou,unetr_style_filtered_precision,unetr_style_filtered_recall,unetr_style_filtered_fp_fn_ratio,unetr_style_filtered_total_residual_error
CAMRI,064,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-064/ses-1/anat/sub-064_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-064_ses-1_acq-RARE_T2w_077.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/064_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/probability_maps/camri/064_probability.nii.gz,0.9869563379361499,0.20000000298023224,0.04309119884369449,2548,4240,0.8184549661801352,0.8184549661801352,0.9966820932716269,0.997123531505874,0.9742485688380369,0.9901757037596826,0.9837578385667058,0.6009433962264151,6788,0.9873471741637831,0.20000000298023224,0.03804505576516614,2342,4240,0.8208160175942191,0.8208160175942191,0.9995572883195522,1.0,0.9750105356675057,0.9909627977511181,0.9837578385667058,0.5523584905660377,6582,0.9880044789403669,0.20000000298023224,0.04262731514479526,3307,2960,0.8342357292530974,0.8342357292530974,0.9958091327154851,0.9978483131056014,0.9762933317193482,0.9873486969961285,0.9886611325843041,1.1172297297297298,6267,0.9881255252392411,0.20000000298023224,0.03997719814818404,3243,2960,0.8349872612361527,0.8349872612361527,0.9966639922300579,0.9986909336598961,0.9765297474006024,0.9875904979107036,0.9886611325843041,1.0956081081081082,6203
CAMRI,007,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-007/ses-1/anat/sub-007_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-007_ses-1_acq-RARE_T2w_123.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/007_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/probability_maps/camri/007_probability.nii.gz,0.9879251379174042,0.10000000149011612,0.011416409673941138,1472,2041,0.9148693694977065,0.9837744665090173,0.9990882931137639,1.0,0.9761384013476063,0.989861071888582,0.9859967616224821,0.7212150906418422,3513,0.9879251379174042,0.10000000149011612,0.011416409673941138,1472,2041,0.9148693694977065,0.9837744665090173,0.9990882931137639,1.0,0.9761384013476063,0.989861071888582,0.9859967616224821,0.7212150906418422,3513,0.9882581217811325,0.10000000149011612,0.010907541123520405,1289,2124,0.9149757357323268,0.9853421119845617,0.9997729659165082,0.9999716207395635,0.9767887868009603,0.9911052533519187,0.9854273011691091,0.6068738229755178,3413,0.9882649217145393,0.10000000149011612,0.01083115121209365,1287,2124,0.9150017028039505,0.9853700760585764,0.9998013395391078,1.0,0.9768020729194296,0.9911189317875996,0.9854273011691091,0.6059322033898306,3411
CAMRI,043,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-043/ses-1/anat/sub-043_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-043_ses-1_acq-RARE_T2w_019.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/043_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/probability_maps/camri/043_probability.nii.gz,0.9879515347943244,0.10000000149011612,0.019084912509838178,1448,1749,0.9159831047992164,0.9836404260528894,0.9937102105778648,0.9946131243878551,0.9761899442172919,0.9890735123224823,0.9868320998622226,0.8279016580903373,3197,0.9893833432090006,0.10000000149011612,0.009655559352078538,1064,1749,0.9213977832512316,0.9894550492610837,0.9995843596059113,1.0,0.9789897450835406,0.9919478121357974,0.9868320998622226,0.6083476272155517,2813,0.9882494909118335,0.10000000149011612,0.012412608682170078,1325,1791,0.9139208721215091,0.9836783439490446,0.9973511758941696,0.9998928221460068,0.976771923547127,0.9899891958868817,0.986515889567319,0.7398101619207147,3116,0.9882867594373421,0.10000000149011612,0.012268870356685068,1315,1791,0.9140608250895838,0.9838289792043122,0.997503904933999,0.9999693730666749,0.9768447419821378,0.9900639984283739,0.986515889567319,0.7342266890005583,3106
CAMRI,078,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-078/ses-1/anat/sub-078_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-078_ses-1_acq-RARE_T2w_069.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/078_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/probability_maps/camri/078_probability.nii.gz,0.9902584135597653,0.20000000298023224,0.027980117945025258,2745,2023,0.8632217944921527,0.8632217944921527,0.9998519395913533,0.999955581877406,0.9807047930459556,0.9887998041495808,0.991721332607637,1.356895699456253,4768,0.9902644832412222,0.20000000298023224,0.027812486582450602,2742,2023,0.8632601388868324,0.8632601388868324,0.999896353110147,1.0,0.9807166993788066,0.9888119078512498,0.991721332607637,1.3554127533366287,4765,0.9892969980977884,0.20000000298023224,0.042411160361089696,3237,2007,0.8589878141216256,0.8589878141216256,0.9941694361844791,0.9950731735758848,0.9788206785137318,0.9868196569120455,0.9917868089686246,1.6128550074738415,5244,0.9900547611120529,0.20000000298023224,0.02888021630181658,2862,2007,0.863569753810082,0.863569753810082,0.9994138335287222,1.0,0.9803053898270806,0.9883287523754374,0.9917868089686246,1.4260089686098654,4869
CAMRI,009,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-009/ses-1/anat/sub-009_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-009_ses-1_acq-RARE_T2w_060.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/009_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/probability_maps/camri/009_probability.nii.gz,0.9885326182454371,0.10000000149011612,0.010866482155650364,2026,976,0.9207459568211716,0.9881761200959529,0.9980964172405788,0.999628569217674,0.9773252564315603,0.9845835425892953,0.992513500245459,2.0758196721311477,3002,0.9887403479144617,0.10000000149011612,0.010032371806573922,1971,976,0.9215303593556382,0.9890179677819083,0.9989467162329616,1.0,0.9777314321552981,0.9849957750660384,0.992513500245459,2.019467213114754,2947,0.9868839564249522,0.10000000149011612,0.01242778997625161,2296,1139,0.9083032713594179,0.9830882126229458,0.9984737767089076,1.0,0.9741075197491407,0.9825432427295191,0.9912631934216986,2.0158033362598773,3435,0.9869593276130032,0.10000000149011612,0.012290676335262464,2276,1139,0.9085834130092836,0.983391419671221,0.9986275175030072,1.0,0.9742543952233045,0.9826926732823847,0.9912631934216986,1.9982440737489024,3415
CAMRI,099,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-099/ses-1/anat/sub-099_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-099_ses-1_acq-RARE_T2w_014.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/099_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/probability_maps/camri/099_probability.nii.gz,0.9893460194024758,0.10000000149011612,0.009939829553465519,2031,1279,0.92399229696527,0.9879009230360581,0.9986320472806959,1.0,0.9789166602970776,0.9869571080871068,0.9917465234085115,1.587959343236904,3310,0.9893460194024758,0.10000000149011612,0.009939829553465519,2031,1279,0.92399229696527,0.9879009230360581,0.9986320472806959,1.0,0.9789166602970776,0.9869571080871068,0.9917465234085115,1.587959343236904,3310,0.9900270932782866,0.10000000149011612,0.009165638853081741,1601,1491,0.9282381870140227,0.99044327772978,0.9986309563368113,1.0,0.9802511400942734,0.9896759632435919,0.9903784725583196,1.073775989268947,3092,0.9900270932782866,0.10000000149011612,0.009165638853081741,1601,1491,0.9282381870140227,0.99044327772978,0.9986309563368113,1.0,0.9802511400942734,0.9896759632435919,0.9903784725583196,1.073775989268947,3092
Mouse,POLYIC_20190510_mouse34__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse34__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/probability_maps/mouse/POLYIC_20190510_mouse34__E2_P1_probability.nii.gz,0.9749279593539092,0.20000000298023224,0.03470856034128311,3213,2077,0.7547904498411723,0.9494825289476381,1.0,1.0,0.951082383184916,0.96970696937698,0.9802054742299482,1.5469427058257101,5290,0.9749279593539092,0.20000000298023224,0.03470856034128311,3213,2077,0.7547904498411723,0.9494825289476381,1.0,1.0,0.951082383184916,0.96970696937698,0.9802054742299482,1.5469427058257101,5290,0.9771919290119044,0.14142135834465194,0.03156792090753447,2384,2402,0.7809586709680697,0.9551654939416262,0.9999491960271293,1.0,0.955401073505293,0.9772757601753884,0.9771081122293382,0.9925062447960034,4786,0.9771919290119044,0.14142135834465194,0.03156792090753447,2384,2402,0.7809586709680697,0.9551654939416262,0.9999491960271293,1.0,0.955401073505293,0.9772757601753884,0.9771081122293382,0.9925062447960034,4786
Mouse,POLYIC_20190510_mouse35__E3_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse35__E3_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/probability_maps/mouse/POLYIC_20190510_mouse35__E3_P1_probability.nii.gz,0.9775985124265117,0.14142135834465194,0.029135896904992718,2618,2225,0.7760523089497343,0.962530649775235,0.9993614630159379,0.9994380874540253,0.956178687441751,0.975824622317438,0.9793788635668542,1.176629213483146,4843,0.9777070505673854,0.14142135834465194,0.028407452406270656,2594,2225,0.776528317317522,0.9631210386424044,0.999974442854222,1.0,0.9563863774175739,0.9760409354564599,0.9793788635668542,1.1658426966292135,4819,0.9806102412462921,0.10000000149011612,0.023080904424004324,1901,2276,0.8056612387764419,0.9774514279916806,1.0,1.0,0.9619581056466302,0.9823202261820617,0.9789061993160271,0.8352372583479789,4177,0.9806102412462921,0.10000000149011612,0.023080904424004324,1901,2276,0.8056612387764419,0.9774514279916806,1.0,1.0,0.9619581056466302,0.9823202261820617,0.9789061993160271,0.8352372583479789,4177
Mouse,POLYIC_20190510_mouse37__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse37__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/probability_maps/mouse/POLYIC_20190510_mouse37__E2_P1_probability.nii.gz,0.9810286870127125,0.10000000149011612,0.02421230213200227,1836,2741,0.7988244216913158,0.9748056503602579,1.0,1.0,0.9627637937486779,0.9847225342619637,0.9773624485885598,0.6698285297336738,4577,0.9810286870127125,0.10000000149011612,0.02421230213200227,1836,2741,0.7988244216913158,0.9748056503602579,1.0,1.0,0.9627637937486779,0.9847225342619637,0.9773624485885598,0.6698285297336738,4577,0.9812493482114923,0.10000000149011612,0.023326548715489902,1028,3467,0.8038225832961563,0.9777642114160934,0.9999765197586231,1.0,0.9631889280157235,0.9913353505895839,0.971366511950579,0.29650995096625327,4495,0.9812534414576763,0.10000000149011612,0.0233186303210078,1027,3467,0.8038414576876115,0.9777871700948624,0.9999765192072885,1.0,0.9631968159595116,0.9913437062760236,0.971366511950579,0.2962215171618114,4494
Mouse,POLYIC_20190510_mouse38__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse38__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/probability_maps/mouse/POLYIC_20190510_mouse38__E2_P1_probability.nii.gz,0.9800098738058325,0.10000000149011612,0.024446425538030038,2521,2095,0.7931026048673108,0.9770820594350006,1.0,1.0,0.9608032946970662,0.9782052390421025,0.9818211794106417,1.2033412887828163,4616,0.9800141178712329,0.10000000149011612,0.02443820450517168,2520,2095,0.7931220037178358,0.9771059583211036,1.0,1.0,0.9608114534153052,0.9782136959773146,0.9818211794106417,1.2028639618138426,4615,0.9812586360694734,0.10000000149011612,0.022316908366485193,1245,3041,0.8068502481268853,0.9805147416561253,1.0,1.0,0.9632068263956254,0.9890258091812989,0.9736125091111034,0.40940480105228544,4286,0.981267217630854,0.10000000149011612,0.02229679344881597,1243,3041,0.8068895051817253,0.9805624483043838,1.0,1.0,0.96322336398053,0.9890432452444334,0.9736125091111034,0.40874712265702073,4284
