domain,subject,baseline_dice,level0_dice,dice_change,baseline_hd95_mm,level0_hd95_mm,baseline_assd_mm,level0_assd_mm
CAMRI,064,0.9869860027998241,0.9863617652376977,-0.0006242375621263729,0.20000000298023224,0.20000000298023224,0.03869130370559149,0.040823777424289144
CAMRI,007,0.9861910044061033,0.9857284276522026,-0.00046257675390071196,0.10000000149011612,0.10000000149011612,0.013673964349371346,0.01399554183696278
CAMRI,043,0.9872546290374762,0.9862926147044228,-0.0009620143330534292,0.10000000149011612,0.10000000149011612,0.01119174731118449,0.01335284416449203
CAMRI,078,0.9888709318219431,0.9888957055214724,2.477369952935682e-05,0.20000000298023224,0.20000000298023224,0.03164703490536551,0.0317194292957234
CAMRI,009,0.986199096751515,0.9866138474269777,0.00041475067546270505,0.10000000149011612,0.10000000149011612,0.011516787252836285,0.011527215466988743
CAMRI,099,0.9866694057565827,0.9876404747862463,0.000971069029663596,0.10000000149011612,0.10000000149011612,0.013109839370708443,0.011494277062566088
Mouse,POLYIC_20190510_mouse34__E2_P1,0.9666573535191859,0.9677160617605775,0.0010587082413915372,0.20000000298023224,0.20000000298023224,0.0471528564906049,0.044399016121759366
Mouse,POLYIC_20190510_mouse35__E3_P1,0.9670163046241893,0.9690903656098792,0.0020740609856898518,0.20000000298023224,0.20000000298023224,0.044364055717833584,0.03888971931442759
Mouse,POLYIC_20190510_mouse37__E2_P1,0.9719678572459316,0.975099882296381,0.003132025050449405,0.20000000298023224,0.14142135834465194,0.041217050607011085,0.03308552709943128
Mouse,POLYIC_20190510_mouse38__E2_P1,0.9714357314760006,0.9732050706997688,0.001769339223768207,0.20000000298023224,0.14142135834465194,0.038695616814109254,0.03329832629538313
Mouse,POLYIC_20190510_mouse39__E4_P1,0.9694154346941544,0.9731503123539161,0.0037348776597617706,0.20000000298023224,0.14142135834465194,0.042024251384579325,0.034075830869378085
Mouse,POLYIC_20190510_mouse42__E2_P1,0.9680646602775741,0.9707410779236053,0.002676417646031215,0.20000000298023224,0.20000000298023224,0.0452464336809348,0.03908703356018834
Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.9607624505559536,0.9608483799002724,8.592934431883581e-05,0.22360680108197992,0.20000000298023224,0.0462725450239077,0.044605067685084925
Mouse,POLYIC_20190510_mouse43__E9_P1,0.9527066337955657,0.9501225800997548,-0.0025840536958109395,0.3999999463558197,0.3999999463558197,0.08008795410312183,0.08459614336337086
Mouse,POLYIC_20190517_mouse33__E2_P1,0.9666261721789219,0.9704582714569226,0.0038320992780007668,0.20000000298023224,0.20000000298023224,0.045584355797157625,0.039140104783649085
Mouse,POLYIC_20190517_mouse35__E2_P1,0.9693583177254853,0.9725985152873559,0.0032401975618705503,0.20000000298023224,0.14142135834465194,0.04106251914003169,0.03415990443128603
Mouse,POLYIC_20190517_mouse36__E2_P1,0.9691356423228261,0.9725103824566891,0.0033747401338629635,0.20000000298023224,0.14142135834465194,0.04058616353367348,0.03310198862349171
Mouse,POLYIC_20190517_mouse37__E3_P1,0.9612160431979566,0.9684207766414363,0.007204733443479716,0.28990586430124177,0.2109375,0.06513592887940205,0.046604273500466815
Mouse,POLYIC_20190517_mouse38__E3_P1,0.9724356272099246,0.9740111239120961,0.0015754967021714972,0.20000000298023224,0.14142135834465194,0.036648354348110375,0.033098896592172695
Mouse,POLYIC_20190517_mouse39__E12_P1,0.9668420912739547,0.9710232256077557,0.004181134333800962,0.22234764798058917,0.2109375,0.05288823239473203,0.0442289672274171
Mouse,POLYIC_20190517_mouse42__E4_P1,0.9706056856130596,0.9745930891158259,0.0039874035027662735,0.20000000298023224,0.14142135834465194,0.03950841967412389,0.03090364145063069
Mouse,POLYIC_20190517_mouse43__E3_P1,0.9715021373396995,0.9747874560380049,0.003285318698305395,0.20000000298023224,0.14142135834465194,0.03915659796481472,0.031432061929732316
Mouse,POLYIC_20190524_polyic___E3_P1,0.9677601116013614,0.9707138333484122,0.002953721747050775,0.20000000298023224,0.20000000298023224,0.045088123068316444,0.038493336577210144
Mouse,POLYIC_20190524_polyic___E3_P1_1,0.9717926160149261,0.975118599775397,0.0033259837604709963,0.20000000298023224,0.10000000149011612,0.03688409855104394,0.030498062931765615
Mouse,POLYIC_20190524_polyic___E3_P1_10,0.9700629463852177,0.9743202484019563,0.004257302016738573,0.20000000298023224,0.14142135834465194,0.04070506811945841,0.03137049325144597
Mouse,POLYIC_20190524_polyic___E3_P1_12,0.967171770156231,0.9711449900115655,0.003973219855334498,0.20000000298023224,0.20000000298023224,0.052939132388611664,0.0392788469748457
Mouse,POLYIC_20190524_polyic___E3_P1_13,0.9706247188560679,0.9740066789340966,0.003381960078028712,0.20000000298023224,0.14142135834465194,0.03807755276693496,0.03240582430189199
Mouse,POLYIC_20190524_polyic___E3_P1_3,0.9660313790847916,0.967868817367339,0.0018374382825473434,0.20000000298023224,0.20000000298023224,0.04621926006181627,0.0435951066792457
Mouse,POLYIC_20190524_polyic___E3_P1_4,0.9716106707155594,0.9747398259472013,0.0031291552316419224,0.14142135834465194,0.10000000149011612,0.036841742091489625,0.03115024377151538
Mouse,POLYIC_20190524_polyic___E3_P1_5,0.9693198133524766,0.9739084995585346,0.0045886862060580125,0.20000000298023224,0.14142135834465194,0.04268772866801407,0.033660269377300094
Mouse,POLYIC_20190524_polyic___E3_P1_6,0.9682788799360444,0.970195586164781,0.00191670622873652,0.20000000298023224,0.20000000298023224,0.04602850185556318,0.04074054879052384
Mouse,POLYIC_20190524_polyic___E3_P1_7,0.9694738514151163,0.9712605742267414,0.0017867228116250633,0.20000000298023224,0.20000000298023224,0.03867102313077646,0.03579515100372385
Mouse,POLYIC_20190524_polyic___E3_P1_9,0.9694715482060298,0.9735041998902997,0.004032651684269917,0.20000000298023224,0.14142135834465194,0.039454656414908154,0.03148903342638875
Mouse,POLYIC_20190524_polyic___E4_P1_1,0.9695904672533154,0.9726436996733643,0.003053232420048846,0.20000000298023224,0.14142135834465194,0.04126047850055229,0.034908864068396946
Mouse,POLYIC_20190524_polyic___E4_P1_7,0.9688340292754554,0.9729719829855817,0.004137953710126374,0.20000000298023224,0.14142135834465194,0.04370826114022722,0.033278206572928945
Mouse,POLYIC_20190524_polyic___E4_P1_9,0.9639848981777783,0.9658358705657438,0.0018509723879654993,0.22360680108197992,0.20000000298023224,0.06803539698929427,0.04469531681519151
Mouse,POLYIC_20190524_polyic___E8_P1_1,0.9660121045537436,0.9697865599392819,0.0037744553855382224,0.20000000298023224,0.20000000298023224,0.0478082712531302,0.04024622147877167
Mouse,POLYIC_20190524_polyic___E9_P1_1,0.9681257235756336,0.9663570369213956,-0.0017686866542380164,0.22360680108197992,0.30000000447034836,0.04877277763010731,0.059698345973782554
Mouse,POLYIC_20190531_polyic_m__E3_P1,0.9710364479844819,0.9739224871681054,0.002886039183623512,0.20000000298023224,0.14142135834465194,0.03784975279732152,0.03130516332651259
Mouse,POLYIC_20190531_polyic_m__E3_P1_1,0.9688612422811479,0.9709283583580403,0.0020671160768923613,0.20000000298023224,0.20000000298023224,0.041679697258004876,0.03714716258043732
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,0.9716572484003606,0.9721143259787731,0.0004570775784125125,0.14142135834465194,0.14142135834465194,0.03563835145025167,0.03539341819507948
Mouse,POLYIC_20190531_polyic_m__E3_P1_11,0.9696519664488802,0.9724474256388588,0.0027954591899785886,0.20000000298023224,0.14142135834465194,0.041464274818080946,0.03474320158030824
Mouse,POLYIC_20190531_polyic_m__E3_P1_12,0.966888657926783,0.9702561731002681,0.0033675151734851028,0.20000000298023224,0.20000000298023224,0.04594155094986099,0.03892292215646222
Mouse,POLYIC_20190531_polyic_m__E3_P1_13,0.970506715940587,0.9726513198826771,0.00214460394209004,0.20000000298023224,0.14142135834465194,0.0397542425882928,0.03522580359491553
Mouse,POLYIC_20190531_polyic_m__E3_P1_2,0.9727301486871244,0.9757244201679252,0.002994271480800781,0.14142135834465194,0.10000000149011612,0.035817098698776854,0.029931033699802337
Mouse,POLYIC_20190531_polyic_m__E3_P1_3,0.9708264295134075,0.9719398542022563,0.0011134246888487853,0.20000000298023224,0.14142135834465194,0.03661220276147824,0.03593991017598908
Mouse,POLYIC_20190531_polyic_m__E3_P1_4,0.9682230984709261,0.9700371521451792,0.0018140536742530244,0.20000000298023224,0.20000000298023224,0.045976618122612334,0.041691116901338726
Mouse,POLYIC_20190531_polyic_m__E3_P1_5,0.9693911611071374,0.9720784224940024,0.0026872613868650364,0.20000000298023224,0.20000000298023224,0.04037013637326214,0.03602422636918385
Mouse,POLYIC_20190531_polyic_m__E3_P1_6,0.9687749212433635,0.9719556286671887,0.0031807074238251465,0.20000000298023224,0.20000000298023224,0.0412556679308812,0.03604124850134902
Mouse,POLYIC_20190531_polyic_m__E3_P1_7,0.9713126856467891,0.9750518932855551,0.0037392076387660067,0.20000000298023224,0.10000000149011612,0.03918840784001993,0.03071561379166427
Mouse,POLYIC_20190531_polyic_m__E3_P1_8,0.9676139458870529,0.9703249005684398,0.0027109546813869345,0.20000000298023224,0.20000000298023224,0.041635256424114614,0.03655494310812105
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,0.969978730380247,0.9734182554412013,0.0034395250609543515,0.20000000298023224,0.14142135834465194,0.04284179177150497,0.03482153578036357
Mouse,POLYIC_20190531_polyic_m__E5_P1_11,0.9696136225553785,0.9740834282507139,0.004469805695335394,0.20000000298023224,0.14142135834465194,0.04384702264259662,0.03329888916545661
Mouse,POLYIC_20190612_polyic___E10_P1_1,0.9731175802353512,0.9757308497480431,0.002613269512691918,0.14142135834465194,0.10000000149011612,0.03435339407608435,0.028874166427550044
Mouse,POLYIC_20190612_polyic___E12_P1,0.9711020766948687,0.9746188419846655,0.0035167652897968305,0.20000000298023224,0.14142135834465194,0.040586992386569355,0.03288553292855797
Mouse,POLYIC_20190612_polyic___E3_P1,0.9720080369562604,0.9747758186833617,0.0027677817271013483,0.20000000298023224,0.14142135834465194,0.03646785972946131,0.031729010419886135
Mouse,POLYIC_20190612_polyic___E3_P1_1,0.9699640787222417,0.9731394047885433,0.0031753260663016647,0.20000000298023224,0.14142135834465194,0.04041372421186923,0.03346776843643472
