domain,subject,image_path,ground_truth_path,baseline_raw_prediction_path,baseline_filtered_prediction_path,baseline_probability_path,unetr_style_raw_prediction_path,unetr_style_filtered_prediction_path,unetr_style_probability_path,baseline_raw_dice,baseline_raw_hd95_mm,baseline_raw_assd_mm,baseline_raw_fp_voxels,baseline_raw_fn_voxels,baseline_raw_surface_dice_0.1mm,baseline_raw_surface_dice_0.2mm,baseline_raw_surface_dice_0.5mm,baseline_raw_surface_dice_1mm,baseline_raw_iou,baseline_raw_precision,baseline_raw_recall,baseline_raw_fp_fn_ratio,baseline_raw_total_residual_error,baseline_filtered_dice,baseline_filtered_hd95_mm,baseline_filtered_assd_mm,baseline_filtered_fp_voxels,baseline_filtered_fn_voxels,baseline_filtered_surface_dice_0.1mm,baseline_filtered_surface_dice_0.2mm,baseline_filtered_surface_dice_0.5mm,baseline_filtered_surface_dice_1mm,baseline_filtered_iou,baseline_filtered_precision,baseline_filtered_recall,baseline_filtered_fp_fn_ratio,baseline_filtered_total_residual_error,unetr_style_raw_dice,unetr_style_raw_hd95_mm,unetr_style_raw_assd_mm,unetr_style_raw_fp_voxels,unetr_style_raw_fn_voxels,unetr_style_raw_surface_dice_0.1mm,unetr_style_raw_surface_dice_0.2mm,unetr_style_raw_surface_dice_0.5mm,unetr_style_raw_surface_dice_1mm,unetr_style_raw_iou,unetr_style_raw_precision,unetr_style_raw_recall,unetr_style_raw_fp_fn_ratio,unetr_style_raw_total_residual_error,unetr_style_filtered_dice,unetr_style_filtered_hd95_mm,unetr_style_filtered_assd_mm,unetr_style_filtered_fp_voxels,unetr_style_filtered_fn_voxels,unetr_style_filtered_surface_dice_0.1mm,unetr_style_filtered_surface_dice_0.2mm,unetr_style_filtered_surface_dice_0.5mm,unetr_style_filtered_surface_dice_1mm,unetr_style_filtered_iou,unetr_style_filtered_precision,unetr_style_filtered_recall,unetr_style_filtered_fp_fn_ratio,unetr_style_filtered_total_residual_error
CAMRI,064,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-064/ses-1/anat/sub-064_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-064_ses-1_acq-RARE_T2w_077.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/064_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/native_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/filtered_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/probability_maps/camri/064_probability.nii.gz,0.9869563379361499,0.20000000298023224,0.04309119884369449,2548,4240,0.8184549661801352,0.8184549661801352,0.9966820932716269,0.997123531505874,0.9742485688380369,0.9901757037596826,0.9837578385667058,0.6009433962264151,6788,0.9873471741637831,0.20000000298023224,0.03804505576516614,2342,4240,0.8208160175942191,0.8208160175942191,0.9995572883195522,1.0,0.9750105356675057,0.9909627977511181,0.9837578385667058,0.5523584905660377,6582,0.9822106270906518,0.20000000298023224,0.07846029890278292,5794,3534,0.7642477679192279,0.7642477679192279,0.9834784301727255,0.9892498539760243,0.9650431152400475,0.9779954350212108,0.9864623116732874,1.6395019807583475,9328,0.9826753925702619,0.20000000298023224,0.07260833570177172,5546,3534,0.7667536381521117,0.7667536381521117,0.9867031295782116,0.992465571849144,0.9659408466025244,0.9789174374004509,0.9864623116732874,1.5693265421618563,9080
CAMRI,007,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-007/ses-1/anat/sub-007_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-007_ses-1_acq-RARE_T2w_123.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/007_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/native_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/filtered_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/probability_maps/camri/007_probability.nii.gz,0.9879251379174042,0.10000000149011612,0.011416409673941138,1472,2041,0.9148693694977065,0.9837744665090173,0.9990882931137639,1.0,0.9761384013476063,0.989861071888582,0.9859967616224821,0.7212150906418422,3513,0.9879251379174042,0.10000000149011612,0.011416409673941138,1472,2041,0.9148693694977065,0.9837744665090173,0.9990882931137639,1.0,0.9761384013476063,0.989861071888582,0.9859967616224821,0.7212150906418422,3513,0.9877208970871392,0.10000000149011612,0.012674104095846987,1979,1605,0.9142526071842411,0.9819828731311647,0.9978379447757397,0.9996891162422632,0.9757396890293845,0.9864568933659992,0.9889881442450189,1.2330218068535825,3584,0.9877208970871392,0.10000000149011612,0.012674104095846987,1979,1605,0.9142526071842411,0.9819828731311647,0.9978379447757397,0.9996891162422632,0.9757396890293845,0.9864568933659992,0.9889881442450189,1.2330218068535825,3584
CAMRI,043,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-043/ses-1/anat/sub-043_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-043_ses-1_acq-RARE_T2w_019.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/043_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/native_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/filtered_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/probability_maps/camri/043_probability.nii.gz,0.9879515347943244,0.10000000149011612,0.019084912509838178,1448,1749,0.9159831047992164,0.9836404260528894,0.9937102105778648,0.9946131243878551,0.9761899442172919,0.9890735123224823,0.9868320998622226,0.8279016580903373,3197,0.9893833432090006,0.10000000149011612,0.009655559352078538,1064,1749,0.9213977832512316,0.9894550492610837,0.9995843596059113,1.0,0.9789897450835406,0.9919478121357974,0.9868320998622226,0.6083476272155517,2813,0.9879341974904035,0.10000000149011612,0.015683397039753088,1509,1694,0.9142376510169751,0.9815109343936381,0.9952133353723811,0.9980119284294234,0.976156090879314,0.9886231698306669,0.9872461847722157,0.8907910271546635,3203,0.9883809889915242,0.10000000149011612,0.012503546523199223,1389,1694,0.9159184924161177,0.9833154588631837,0.9970430519381033,0.9997242224605485,0.9770288796828898,0.9895184050468615,0.9872461847722157,0.819952774498229,3083
CAMRI,078,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-078/ses-1/anat/sub-078_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-078_ses-1_acq-RARE_T2w_069.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/078_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/native_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/filtered_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/probability_maps/camri/078_probability.nii.gz,0.9902584135597653,0.20000000298023224,0.027980117945025258,2745,2023,0.8632217944921527,0.8632217944921527,0.9998519395913533,0.999955581877406,0.9807047930459556,0.9887998041495808,0.991721332607637,1.356895699456253,4768,0.9902644832412222,0.20000000298023224,0.027812486582450602,2742,2023,0.8632601388868324,0.8632601388868324,0.999896353110147,1.0,0.9807166993788066,0.9888119078512498,0.991721332607637,1.3554127533366287,4765,0.9835674610175885,0.20000000298023224,0.05226857895270761,6242,1861,0.8015670342426001,0.8015670342426001,0.987811955890888,0.9973737666860127,0.9676662476806129,0.9749059273791528,0.992384280762636,3.354110693175712,8103,0.9836113448999665,0.20000000298023224,0.0516086698490941,6220,1861,0.8018229847020233,0.8018229847020233,0.9881128624923801,0.9975906412377717,0.9677512041918247,0.9749921599215188,0.992384280762636,3.342289091886083,8081
CAMRI,009,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-009/ses-1/anat/sub-009_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-009_ses-1_acq-RARE_T2w_060.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/009_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/native_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/filtered_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/probability_maps/camri/009_probability.nii.gz,0.9885326182454371,0.10000000149011612,0.010866482155650364,2026,976,0.9207459568211716,0.9881761200959529,0.9980964172405788,0.999628569217674,0.9773252564315603,0.9845835425892953,0.992513500245459,2.0758196721311477,3002,0.9887403479144617,0.10000000149011612,0.010032371806573922,1971,976,0.9215303593556382,0.9890179677819083,0.9989467162329616,1.0,0.9777314321552981,0.9849957750660384,0.992513500245459,2.019467213114754,2947,0.9867524674720658,0.10000000149011612,0.01337751293626727,2526,949,0.912502881733651,0.9828018135710443,0.9959732575117191,0.9997387228156459,0.9738513401658465,0.9808556595551177,0.9927206062837506,2.661749209694415,3475,0.9871701970236688,0.10000000149011612,0.012402863199944303,2415,949,0.9140622594451457,0.9844813252455584,0.9970902484835422,0.9998922314253164,0.9746654315688003,0.9816815085637999,0.9927206062837506,2.5447839831401473,3364
CAMRI,099,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-099/ses-1/anat/sub-099_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-099_ses-1_acq-RARE_T2w_014.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/099_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/native_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/filtered_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/probability_maps/camri/099_probability.nii.gz,0.9893460194024758,0.10000000149011612,0.009939829553465519,2031,1279,0.92399229696527,0.9879009230360581,0.9986320472806959,1.0,0.9789166602970776,0.9869571080871068,0.9917465234085115,1.587959343236904,3310,0.9893460194024758,0.10000000149011612,0.009939829553465519,2031,1279,0.92399229696527,0.9879009230360581,0.9986320472806959,1.0,0.9789166602970776,0.9869571080871068,0.9917465234085115,1.587959343236904,3310,0.9883565027168161,0.10000000149011612,0.013379439975416737,2731,899,0.916433141225612,0.9831332945592979,0.9955982657431396,0.9997752868397398,0.9769810267857143,0.9825825749217141,0.9941986900267802,3.0378197997775307,3630,0.988369183789991,0.10000000149011612,0.013288296887433881,2727,899,0.9164815989847716,0.9831852791878173,0.9956509094754653,0.9998281514382402,0.9770058087918221,0.9826076419227899,0.9941986900267802,3.0333704115684093,3626
Mouse,POLYIC_20190510_mouse34__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse34__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/native_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/probability_maps/mouse/POLYIC_20190510_mouse34__E2_P1_probability.nii.gz,0.9749279593539092,0.20000000298023224,0.03470856034128311,3213,2077,0.7547904498411723,0.9494825289476381,1.0,1.0,0.951082383184916,0.96970696937698,0.9802054742299482,1.5469427058257101,5290,0.9749279593539092,0.20000000298023224,0.03470856034128311,3213,2077,0.7547904498411723,0.9494825289476381,1.0,1.0,0.951082383184916,0.96970696937698,0.9802054742299482,1.5469427058257101,5290,0.9757629438763186,0.20000000298023224,0.033235024309220186,3192,1925,0.7739639594164858,0.9488415526727576,0.9986875977992025,1.0,0.9526729559748428,0.969942087668911,0.9816540866117719,1.6581818181818182,5117,0.9758137860472167,0.20000000298023224,0.03305907735022473,3181,1925,0.7741788897023554,0.9491050465779708,0.9989649339829845,1.0,0.9527698896484104,0.9700425676184736,0.9816540866117719,1.6524675324675324,5106
Mouse,POLYIC_20190510_mouse35__E3_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse35__E3_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/native_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/probability_maps/mouse/POLYIC_20190510_mouse35__E3_P1_probability.nii.gz,0.9775985124265117,0.14142135834465194,0.029135896904992718,2618,2225,0.7760523089497343,0.962530649775235,0.9993614630159379,0.9994380874540253,0.956178687441751,0.975824622317438,0.9793788635668542,1.176629213483146,4843,0.9777070505673854,0.14142135834465194,0.028407452406270656,2594,2225,0.776528317317522,0.9631210386424044,0.999974442854222,1.0,0.9563863774175739,0.9760409354564599,0.9793788635668542,1.1658426966292135,4819,0.9769431701756491,0.14142135834465194,0.029751337807970197,2940,2056,0.780050701538616,0.9564518962877437,0.9989207098215406,0.999974900228408,0.9549256128258105,0.972973718319958,0.9809451431431246,1.4299610894941635,4996,0.9769657139428735,0.14142135834465194,0.029670852266360088,2935,2056,0.7801486092981224,0.956571944974395,0.9990209860427753,1.0,0.9549686919176426,0.973018441228925,0.9809451431431246,1.4275291828793775,4991
Mouse,POLYIC_20190510_mouse37__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse37__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/native_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/probability_maps/mouse/POLYIC_20190510_mouse37__E2_P1_probability.nii.gz,0.9810286870127125,0.10000000149011612,0.02421230213200227,1836,2741,0.7988244216913158,0.9748056503602579,1.0,1.0,0.9627637937486779,0.9847225342619637,0.9773624485885598,0.6698285297336738,4577,0.9810286870127125,0.10000000149011612,0.02421230213200227,1836,2741,0.7988244216913158,0.9748056503602579,1.0,1.0,0.9627637937486779,0.9847225342619637,0.9773624485885598,0.6698285297336738,4577,0.9819761255087718,0.10000000149011612,0.023501603481919035,1851,2502,0.8106738013095824,0.9733859043863973,1.0,1.0,0.9645904679784923,0.9846302031868871,0.9793363175368759,0.7398081534772182,4353,0.9819761255087718,0.10000000149011612,0.023501603481919035,1851,2502,0.8106738013095824,0.9733859043863973,1.0,1.0,0.9645904679784923,0.9846302031868871,0.9793363175368759,0.7398081534772182,4353
Mouse,POLYIC_20190510_mouse38__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse38__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/native_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/probability_maps/mouse/POLYIC_20190510_mouse38__E2_P1_probability.nii.gz,0.9800098738058325,0.10000000149011612,0.024446425538030038,2521,2095,0.7931026048673108,0.9770820594350006,1.0,1.0,0.9608032946970662,0.9782052390421025,0.9818211794106417,1.2033412887828163,4616,0.9800141178712329,0.10000000149011612,0.02443820450517168,2520,2095,0.7931220037178358,0.9771059583211036,1.0,1.0,0.9608114534153052,0.9782136959773146,0.9818211794106417,1.2028639618138426,4615,0.9796160422483389,0.10000000149011612,0.02594017786403915,2618,2091,0.7951199398481651,0.9695117514370952,0.9997331975066094,1.0,0.9600464950535372,0.9773863921016489,0.9818558883759675,1.2520325203252032,4709,0.9796245232952258,0.10000000149011612,0.02591694014207396,2616,2091,0.7951585126252213,0.9695587842918476,0.9997574405122857,1.0,0.9600627863566944,0.977403277215835,0.9818558883759675,1.2510760401721663,4707
