domain,subject,image_path,ground_truth_path,baseline_raw_prediction_path,baseline_filtered_prediction_path,baseline_probability_path,higher_res_raw_prediction_path,higher_res_filtered_prediction_path,higher_res_probability_path,baseline_raw_dice,baseline_raw_hd95_mm,baseline_raw_assd_mm,baseline_raw_fp_voxels,baseline_raw_fn_voxels,baseline_raw_surface_dice_0.1mm,baseline_raw_surface_dice_0.2mm,baseline_raw_surface_dice_0.5mm,baseline_raw_surface_dice_1mm,baseline_raw_iou,baseline_raw_precision,baseline_raw_recall,baseline_raw_fp_fn_ratio,baseline_raw_total_residual_error,baseline_filtered_dice,baseline_filtered_hd95_mm,baseline_filtered_assd_mm,baseline_filtered_fp_voxels,baseline_filtered_fn_voxels,baseline_filtered_surface_dice_0.1mm,baseline_filtered_surface_dice_0.2mm,baseline_filtered_surface_dice_0.5mm,baseline_filtered_surface_dice_1mm,baseline_filtered_iou,baseline_filtered_precision,baseline_filtered_recall,baseline_filtered_fp_fn_ratio,baseline_filtered_total_residual_error,higher_res_raw_dice,higher_res_raw_hd95_mm,higher_res_raw_assd_mm,higher_res_raw_fp_voxels,higher_res_raw_fn_voxels,higher_res_raw_surface_dice_0.1mm,higher_res_raw_surface_dice_0.2mm,higher_res_raw_surface_dice_0.5mm,higher_res_raw_surface_dice_1mm,higher_res_raw_iou,higher_res_raw_precision,higher_res_raw_recall,higher_res_raw_fp_fn_ratio,higher_res_raw_total_residual_error,higher_res_filtered_dice,higher_res_filtered_hd95_mm,higher_res_filtered_assd_mm,higher_res_filtered_fp_voxels,higher_res_filtered_fn_voxels,higher_res_filtered_surface_dice_0.1mm,higher_res_filtered_surface_dice_0.2mm,higher_res_filtered_surface_dice_0.5mm,higher_res_filtered_surface_dice_1mm,higher_res_filtered_iou,higher_res_filtered_precision,higher_res_filtered_recall,higher_res_filtered_fp_fn_ratio,higher_res_filtered_total_residual_error
CAMRI,064,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-064/ses-1/anat/sub-064_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-064_ses-1_acq-RARE_T2w_077.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/camri/064_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/064_probability.nii.gz,0.9861587902355717,0.20000000298023224,0.0433749660660009,2534,4663,0.8028762139398974,0.8028762139398974,0.9982811470478701,0.9985819463144928,0.9726955076768987,0.9902131932643288,0.9821374531218277,0.5434269783401244,7197,0.9863617652376977,0.20000000298023224,0.040823777424289144,2427,4663,0.8041086261064169,0.8041086261064169,0.9998135050999182,1.0,0.9730905281695487,0.9906225730546765,0.9821374531218277,0.5204803774394167,7090,0.9869563379361499,0.20000000298023224,0.04309119884369449,2548,4240,0.8184549661801352,0.8184549661801352,0.9966820932716269,0.997123531505874,0.9742485688380369,0.9901757037596826,0.9837578385667058,0.6009433962264151,6788,0.9873471741637831,0.20000000298023224,0.03804505576516614,2342,4240,0.8208160175942191,0.8208160175942191,0.9995572883195522,1.0,0.9750105356675057,0.9909627977511181,0.9837578385667058,0.5523584905660377,6582
CAMRI,007,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-007/ses-1/anat/sub-007_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-007_ses-1_acq-RARE_T2w_123.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/camri/007_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/007_probability.nii.gz,0.9857284276522026,0.10000000149011612,0.01399554183696278,1788,2364,0.8980494443184396,0.9789634837831708,0.9986391471989113,1.0,0.971858479056527,0.9876839146966441,0.9837806685328503,0.7563451776649747,4152,0.9857284276522026,0.10000000149011612,0.01399554183696278,1788,2364,0.8980494443184396,0.9789634837831708,0.9986391471989113,1.0,0.971858479056527,0.9876839146966441,0.9837806685328503,0.7563451776649747,4152,0.9879251379174042,0.10000000149011612,0.011416409673941138,1472,2041,0.9148693694977065,0.9837744665090173,0.9990882931137639,1.0,0.9761384013476063,0.989861071888582,0.9859967616224821,0.7212150906418422,3513,0.9879251379174042,0.10000000149011612,0.011416409673941138,1472,2041,0.9148693694977065,0.9837744665090173,0.9990882931137639,1.0,0.9761384013476063,0.989861071888582,0.9859967616224821,0.7212150906418422,3513
CAMRI,043,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-043/ses-1/anat/sub-043_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-043_ses-1_acq-RARE_T2w_019.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/camri/043_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/043_probability.nii.gz,0.9852813592677861,0.10000000149011612,0.019591981245786802,2267,1652,0.8991618369613167,0.9787340847898508,0.9940370252057379,0.9958624256529609,0.9709897105633282,0.9830108364933527,0.9875623950671194,1.3722760290556901,3919,0.9862926147044228,0.10000000149011612,0.01335284416449203,1994,1652,0.9029114349433294,0.9828155072862249,0.9981822625484985,0.9998319738490209,0.9729559328571322,0.9850260954454999,0.9875623950671194,1.2070217917675545,3646,0.9879515347943244,0.10000000149011612,0.019084912509838178,1448,1749,0.9159831047992164,0.9836404260528894,0.9937102105778648,0.9946131243878551,0.9761899442172919,0.9890735123224823,0.9868320998622226,0.8279016580903373,3197,0.9893833432090006,0.10000000149011612,0.009655559352078538,1064,1749,0.9213977832512316,0.9894550492610837,0.9995843596059113,1.0,0.9789897450835406,0.9919478121357974,0.9868320998622226,0.6083476272155517,2813
CAMRI,078,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-078/ses-1/anat/sub-078_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-078_ses-1_acq-RARE_T2w_069.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/camri/078_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/078_probability.nii.gz,0.9888512173276458,0.20000000298023224,0.03201771868978145,2874,2578,0.8441046611550657,0.8441046611550657,0.9995110676504578,0.9998666548137612,0.9779482844396268,0.9882530379017326,0.9894501213358815,1.1148176881303336,5452,0.9888957055214724,0.20000000298023224,0.0317194292957234,2852,2578,0.844379890917714,0.844379890917714,0.9998369694095328,1.0,0.9780353133911778,0.9883419106676422,0.9894501213358815,1.1062839410395655,5430,0.9902584135597653,0.20000000298023224,0.027980117945025258,2745,2023,0.8632217944921527,0.8632217944921527,0.9998519395913533,0.999955581877406,0.9807047930459556,0.9887998041495808,0.991721332607637,1.356895699456253,4768,0.9902644832412222,0.20000000298023224,0.027812486582450602,2742,2023,0.8632601388868324,0.8632601388868324,0.999896353110147,1.0,0.9807166993788066,0.9888119078512498,0.991721332607637,1.3554127533366287,4765
CAMRI,009,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-009/ses-1/anat/sub-009_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-009_ses-1_acq-RARE_T2w_060.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/camri/009_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/009_probability.nii.gz,0.9864702322124924,0.10000000149011612,0.01212567312875461,1925,1607,0.905253370525337,0.9871687587168759,0.99860529986053,0.999628079962808,0.9733016864082,0.9852700365762209,0.9876733554246441,1.1978842563783447,3532,0.9866138474269777,0.10000000149011612,0.011527215466988743,1887,1607,0.9057867642498294,0.9877504186565775,0.9991936984432178,1.0,0.9735813390798079,0.9855566101279775,0.9876733554246441,1.1742377100186683,3494,0.9885326182454371,0.10000000149011612,0.010866482155650364,2026,976,0.9207459568211716,0.9881761200959529,0.9980964172405788,0.999628569217674,0.9773252564315603,0.9845835425892953,0.992513500245459,2.0758196721311477,3002,0.9887403479144617,0.10000000149011612,0.010032371806573922,1971,976,0.9215303593556382,0.9890179677819083,0.9989467162329616,1.0,0.9777314321552981,0.9849957750660384,0.992513500245459,2.019467213114754,2947
CAMRI,099,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-099/ses-1/anat/sub-099_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-099_ses-1_acq-RARE_T2w_014.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/camri/099_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/099_probability.nii.gz,0.9876404747862463,0.10000000149011612,0.011494277062566088,2096,1739,0.9109745717629535,0.9859692520480903,0.9986700712841792,1.0,0.9755827353703338,0.9865054531875717,0.9887781111863969,1.2052903967797586,3835,0.9876404747862463,0.10000000149011612,0.011494277062566088,2096,1739,0.9109745717629535,0.9859692520480903,0.9986700712841792,1.0,0.9755827353703338,0.9865054531875717,0.9887781111863969,1.2052903967797586,3835,0.9893460194024758,0.10000000149011612,0.009939829553465519,2031,1279,0.92399229696527,0.9879009230360581,0.9986320472806959,1.0,0.9789166602970776,0.9869571080871068,0.9917465234085115,1.587959343236904,3310,0.9893460194024758,0.10000000149011612,0.009939829553465519,2031,1279,0.92399229696527,0.9879009230360581,0.9986320472806959,1.0,0.9789166602970776,0.9869571080871068,0.9917465234085115,1.587959343236904,3310
Mouse,POLYIC_20190510_mouse34__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/mouse/POLYIC_20190510_mouse34__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse34__E2_P1_probability.nii.gz,0.9677160617605775,0.20000000298023224,0.044399016121759366,3180,3582,0.6924503038417963,0.9268204758471521,0.9994592645998558,1.0,0.9374514374514374,0.9695769473623788,0.9658623055809699,0.8877721943048577,6762,0.9677160617605775,0.20000000298023224,0.044399016121759366,3180,3582,0.6924503038417963,0.9268204758471521,0.9994592645998558,1.0,0.9374514374514374,0.9695769473623788,0.9658623055809699,0.8877721943048577,6762,0.9749279593539092,0.20000000298023224,0.03470856034128311,3213,2077,0.7547904498411723,0.9494825289476381,1.0,1.0,0.951082383184916,0.96970696937698,0.9802054742299482,1.5469427058257101,5290,0.9749279593539092,0.20000000298023224,0.03470856034128311,3213,2077,0.7547904498411723,0.9494825289476381,1.0,1.0,0.951082383184916,0.96970696937698,0.9802054742299482,1.5469427058257101,5290
Mouse,POLYIC_20190510_mouse35__E3_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/mouse/POLYIC_20190510_mouse35__E3_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse35__E3_P1_probability.nii.gz,0.9690903656098792,0.20000000298023224,0.03888971931442759,2464,4154,0.6967355062162371,0.9419990178086795,1.0,1.0,0.9400342506093528,0.9768004594714196,0.9615010333738033,0.5931632161771786,6618,0.9690903656098792,0.20000000298023224,0.03888971931442759,2464,4154,0.6967355062162371,0.9419990178086795,1.0,1.0,0.9400342506093528,0.9768004594714196,0.9615010333738033,0.5931632161771786,6618,0.9775985124265117,0.14142135834465194,0.029135896904992718,2618,2225,0.7760523089497343,0.962530649775235,0.9993614630159379,0.9994380874540253,0.956178687441751,0.975824622317438,0.9793788635668542,1.176629213483146,4843,0.9777070505673854,0.14142135834465194,0.028407452406270656,2594,2225,0.776528317317522,0.9631210386424044,0.999974442854222,1.0,0.9563863774175739,0.9760409354564599,0.9793788635668542,1.1658426966292135,4819
Mouse,POLYIC_20190510_mouse37__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/mouse/POLYIC_20190510_mouse37__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse37__E2_P1_probability.nii.gz,0.975099882296381,0.14142135834465194,0.03308552709943128,2564,3444,0.7397507847426995,0.9547940644915819,0.999952439836393,1.0,0.9514096695404622,0.9786692401124774,0.9715564658661072,0.7444831591173054,6008,0.975099882296381,0.14142135834465194,0.03308552709943128,2564,3444,0.7397507847426995,0.9547940644915819,0.999952439836393,1.0,0.9514096695404622,0.9786692401124774,0.9715564658661072,0.7444831591173054,6008,0.9810286870127125,0.10000000149011612,0.02421230213200227,1836,2741,0.7988244216913158,0.9748056503602579,1.0,1.0,0.9627637937486779,0.9847225342619637,0.9773624485885598,0.6698285297336738,4577,0.9810286870127125,0.10000000149011612,0.02421230213200227,1836,2741,0.7988244216913158,0.9748056503602579,1.0,1.0,0.9627637937486779,0.9847225342619637,0.9773624485885598,0.6698285297336738,4577
Mouse,POLYIC_20190510_mouse38__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/mouse/POLYIC_20190510_mouse38__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse38__E2_P1_probability.nii.gz,0.9731923565991395,0.14142135834465194,0.033332835387504145,2652,3504,0.7302675053231846,0.9562642257519763,0.9999265767639932,1.0,0.9477844880233426,0.9768165605986433,0.9695949463746486,0.7568493150684932,6156,0.9732050706997688,0.14142135834465194,0.03329832629538313,2649,3504,0.7303211278637165,0.9563344429214803,1.0,1.0,0.9478086061089293,0.9768421788808365,0.9695949463746486,0.7559931506849316,6153,0.9800098738058325,0.10000000149011612,0.024446425538030038,2521,2095,0.7931026048673108,0.9770820594350006,1.0,1.0,0.9608032946970662,0.9782052390421025,0.9818211794106417,1.2033412887828163,4616,0.9800141178712329,0.10000000149011612,0.02443820450517168,2520,2095,0.7931220037178358,0.9771059583211036,1.0,1.0,0.9608114534153052,0.9782136959773146,0.9818211794106417,1.2028639618138426,4615
