domain,subject,image_path,ground_truth_path,baseline_raw_prediction_path,baseline_filtered_prediction_path,baseline_probability_path,unetr_style_raw_prediction_path,unetr_style_filtered_prediction_path,unetr_style_probability_path,baseline_raw_dice,baseline_raw_hd95_mm,baseline_raw_assd_mm,baseline_raw_fp_voxels,baseline_raw_fn_voxels,baseline_raw_surface_dice_0.1mm,baseline_raw_surface_dice_0.2mm,baseline_raw_surface_dice_0.5mm,baseline_raw_surface_dice_1mm,baseline_raw_iou,baseline_raw_precision,baseline_raw_recall,baseline_raw_fp_fn_ratio,baseline_raw_total_residual_error,baseline_filtered_dice,baseline_filtered_hd95_mm,baseline_filtered_assd_mm,baseline_filtered_fp_voxels,baseline_filtered_fn_voxels,baseline_filtered_surface_dice_0.1mm,baseline_filtered_surface_dice_0.2mm,baseline_filtered_surface_dice_0.5mm,baseline_filtered_surface_dice_1mm,baseline_filtered_iou,baseline_filtered_precision,baseline_filtered_recall,baseline_filtered_fp_fn_ratio,baseline_filtered_total_residual_error,unetr_style_raw_dice,unetr_style_raw_hd95_mm,unetr_style_raw_assd_mm,unetr_style_raw_fp_voxels,unetr_style_raw_fn_voxels,unetr_style_raw_surface_dice_0.1mm,unetr_style_raw_surface_dice_0.2mm,unetr_style_raw_surface_dice_0.5mm,unetr_style_raw_surface_dice_1mm,unetr_style_raw_iou,unetr_style_raw_precision,unetr_style_raw_recall,unetr_style_raw_fp_fn_ratio,unetr_style_raw_total_residual_error,unetr_style_filtered_dice,unetr_style_filtered_hd95_mm,unetr_style_filtered_assd_mm,unetr_style_filtered_fp_voxels,unetr_style_filtered_fn_voxels,unetr_style_filtered_surface_dice_0.1mm,unetr_style_filtered_surface_dice_0.2mm,unetr_style_filtered_surface_dice_0.5mm,unetr_style_filtered_surface_dice_1mm,unetr_style_filtered_iou,unetr_style_filtered_precision,unetr_style_filtered_recall,unetr_style_filtered_fp_fn_ratio,unetr_style_filtered_total_residual_error
CAMRI,064,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-064/ses-1/anat/sub-064_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-064_ses-1_acq-RARE_T2w_077.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/064_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/native_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/filtered_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/probability_maps/camri/064_probability.nii.gz,0.9869563379361499,0.20000000298023224,0.04309119884369449,2548,4240,0.8184549661801352,0.8184549661801352,0.9966820932716269,0.997123531505874,0.9742485688380369,0.9901757037596826,0.9837578385667058,0.6009433962264151,6788,0.9873471741637831,0.20000000298023224,0.03804505576516614,2342,4240,0.8208160175942191,0.8208160175942191,0.9995572883195522,1.0,0.9750105356675057,0.9909627977511181,0.9837578385667058,0.5523584905660377,6582,0.9867868526394555,0.2828427166893039,0.14999252538943328,2316,4553,0.804854713938168,0.804854713938168,0.9620178771560561,0.9634939726102288,0.9739183262772199,0.9910514195632351,0.982558829951465,0.5086755985064793,6869,0.9868096312583077,0.2828427166893039,0.14960285945539284,2304,4553,0.8049867403012823,0.8049867403012823,0.9621620143806217,0.9636383519698171,0.9739627040512164,0.991097372488408,0.982558829951465,0.5060399736437514,6857
CAMRI,007,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-007/ses-1/anat/sub-007_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-007_ses-1_acq-RARE_T2w_123.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/007_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/native_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/filtered_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/probability_maps/camri/007_probability.nii.gz,0.9879251379174042,0.10000000149011612,0.011416409673941138,1472,2041,0.9148693694977065,0.9837744665090173,0.9990882931137639,1.0,0.9761384013476063,0.989861071888582,0.9859967616224821,0.7212150906418422,3513,0.9879251379174042,0.10000000149011612,0.011416409673941138,1472,2041,0.9148693694977065,0.9837744665090173,0.9990882931137639,1.0,0.9761384013476063,0.989861071888582,0.9859967616224821,0.7212150906418422,3513,0.9886454797901882,0.10000000149011612,0.010437927394316718,1749,1563,0.9187490222291752,0.9865600955726537,0.9994026709143402,1.0,0.9775459149429495,0.9880154586194138,0.9892763049563642,1.1190019193857965,3312,0.9886454797901882,0.10000000149011612,0.010437927394316718,1749,1563,0.9187490222291752,0.9865600955726537,0.9994026709143402,1.0,0.9775459149429495,0.9880154586194138,0.9892763049563642,1.1190019193857965,3312
CAMRI,043,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-043/ses-1/anat/sub-043_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-043_ses-1_acq-RARE_T2w_019.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/043_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/native_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/filtered_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/probability_maps/camri/043_probability.nii.gz,0.9879515347943244,0.10000000149011612,0.019084912509838178,1448,1749,0.9159831047992164,0.9836404260528894,0.9937102105778648,0.9946131243878551,0.9761899442172919,0.9890735123224823,0.9868320998622226,0.8279016580903373,3197,0.9893833432090006,0.10000000149011612,0.009655559352078538,1064,1749,0.9213977832512316,0.9894550492610837,0.9995843596059113,1.0,0.9789897450835406,0.9919478121357974,0.9868320998622226,0.6083476272155517,2813,0.9883248311458044,0.10000000149011612,0.016466723816517193,1834,1274,0.9188808835451945,0.9850702889572147,0.9954415431447233,0.9960840102182859,0.9769191352844635,0.9862501218296185,0.9904082877212531,1.4395604395604396,3108,0.9892761797330325,0.10000000149011612,0.009712452173233752,1578,1274,0.9224933581092495,0.9889429795598692,0.9993550071409923,1.0,0.9787799197922634,0.9881466569516326,0.9904082877212531,1.23861852433281,2852
CAMRI,078,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-078/ses-1/anat/sub-078_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-078_ses-1_acq-RARE_T2w_069.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/078_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/native_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/filtered_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/probability_maps/camri/078_probability.nii.gz,0.9902584135597653,0.20000000298023224,0.027980117945025258,2745,2023,0.8632217944921527,0.8632217944921527,0.9998519395913533,0.999955581877406,0.9807047930459556,0.9887998041495808,0.991721332607637,1.356895699456253,4768,0.9902644832412222,0.20000000298023224,0.027812486582450602,2742,2023,0.8632601388868324,0.8632601388868324,0.999896353110147,1.0,0.9807166993788066,0.9888119078512498,0.991721332607637,1.3554127533366287,4765,0.9905273038935597,0.20000000298023224,0.028971375315462927,2978,1664,0.8719020427385648,0.8719020427385648,0.9988373462059221,0.9994996173544475,0.9812323876753146,0.9878783931747782,0.9931904584572951,1.7896634615384615,4642,0.9905940119222787,0.20000000298023224,0.02669078331435313,2945,1664,0.8723257012442023,0.8723257012442023,0.9993226827652212,0.9999852757122875,0.981363320232261,0.9880111055022716,0.9931904584572951,1.7698317307692308,4609
CAMRI,009,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-009/ses-1/anat/sub-009_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-009_ses-1_acq-RARE_T2w_060.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/009_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/native_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/filtered_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/probability_maps/camri/009_probability.nii.gz,0.9885326182454371,0.10000000149011612,0.010866482155650364,2026,976,0.9207459568211716,0.9881761200959529,0.9980964172405788,0.999628569217674,0.9773252564315603,0.9845835425892953,0.992513500245459,2.0758196721311477,3002,0.9887403479144617,0.10000000149011612,0.010032371806573922,1971,976,0.9215303593556382,0.9890179677819083,0.9989467162329616,1.0,0.9777314321552981,0.9849957750660384,0.992513500245459,2.019467213114754,2947,0.9882957639448431,0.10000000149011612,0.010028799241501766,2100,965,0.9175555004340816,0.9893339947910207,0.9996589358799455,1.0,0.9768623365643023,0.984030782567698,0.9925978767795778,2.1761658031088085,3065,0.9882957639448431,0.10000000149011612,0.010028799241501766,2100,965,0.9175555004340816,0.9893339947910207,0.9996589358799455,1.0,0.9768623365643023,0.984030782567698,0.9925978767795778,2.1761658031088085,3065
CAMRI,099,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-099/ses-1/anat/sub-099_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-099_ses-1_acq-RARE_T2w_014.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/099_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/native_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/filtered_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/probability_maps/camri/099_probability.nii.gz,0.9893460194024758,0.10000000149011612,0.009939829553465519,2031,1279,0.92399229696527,0.9879009230360581,0.9986320472806959,1.0,0.9789166602970776,0.9869571080871068,0.9917465234085115,1.587959343236904,3310,0.9893460194024758,0.10000000149011612,0.009939829553465519,2031,1279,0.92399229696527,0.9879009230360581,0.9986320472806959,1.0,0.9789166602970776,0.9869571080871068,0.9917465234085115,1.587959343236904,3310,0.9894016324956617,0.10000000149011612,0.010751282448765772,2274,1024,0.9228030554633012,0.9873397542344736,0.998365991364995,0.9997077382929259,0.9790255598165849,0.9854431392631949,0.9933920562707709,2.220703125,3298,0.9894016324956617,0.10000000149011612,0.010751282448765772,2274,1024,0.9228030554633012,0.9873397542344736,0.998365991364995,0.9997077382929259,0.9790255598165849,0.9854431392631949,0.9933920562707709,2.220703125,3298
Mouse,POLYIC_20190510_mouse34__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse34__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/native_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/probability_maps/mouse/POLYIC_20190510_mouse34__E2_P1_probability.nii.gz,0.9749279593539092,0.20000000298023224,0.03470856034128311,3213,2077,0.7547904498411723,0.9494825289476381,1.0,1.0,0.951082383184916,0.96970696937698,0.9802054742299482,1.5469427058257101,5290,0.9749279593539092,0.20000000298023224,0.03470856034128311,3213,2077,0.7547904498411723,0.9494825289476381,1.0,1.0,0.951082383184916,0.96970696937698,0.9802054742299482,1.5469427058257101,5290,0.9749309408570417,0.20000000298023224,0.03825153089503532,3614,1695,0.7544513035049232,0.9365848681189736,0.9997704198765369,0.9998469465843579,0.9510880580789003,0.9661759338118993,0.983846065873742,2.1321533923303835,5309,0.9749585633402433,0.20000000298023224,0.038087573479827004,3608,1695,0.75456679252985,0.9367282375752628,0.9999234615777121,1.0,0.9511406353652244,0.9662301925290853,0.983846065873742,2.128613569321534,5303
Mouse,POLYIC_20190510_mouse35__E3_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse35__E3_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/native_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/probability_maps/mouse/POLYIC_20190510_mouse35__E3_P1_probability.nii.gz,0.9775985124265117,0.14142135834465194,0.029135896904992718,2618,2225,0.7760523089497343,0.962530649775235,0.9993614630159379,0.9994380874540253,0.956178687441751,0.975824622317438,0.9793788635668542,1.176629213483146,4843,0.9777070505673854,0.14142135834465194,0.028407452406270656,2594,2225,0.776528317317522,0.9631210386424044,0.999974442854222,1.0,0.9563863774175739,0.9760409354564599,0.9793788635668542,1.1658426966292135,4819,0.9773954846225751,0.14142135834465194,0.0314414958786846,3140,1769,0.7762711864406779,0.9536554515557805,0.9992410827219833,0.9992916772071844,0.9557903079098334,0.9712638418596138,0.9836050380448382,1.7750141322781232,4909,0.9775215182761432,0.14142135834465194,0.030528744429225558,3112,1769,0.7768214267632019,0.9543314262568984,0.9999493696521695,1.0,0.9560313842772338,0.9715127881217847,0.9836050380448382,1.7591859807801018,4881
Mouse,POLYIC_20190510_mouse37__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse37__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/native_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/probability_maps/mouse/POLYIC_20190510_mouse37__E2_P1_probability.nii.gz,0.9810286870127125,0.10000000149011612,0.02421230213200227,1836,2741,0.7988244216913158,0.9748056503602579,1.0,1.0,0.9627637937486779,0.9847225342619637,0.9773624485885598,0.6698285297336738,4577,0.9810286870127125,0.10000000149011612,0.02421230213200227,1836,2741,0.7988244216913158,0.9748056503602579,1.0,1.0,0.9627637937486779,0.9847225342619637,0.9773624485885598,0.6698285297336738,4577,0.9827877039634285,0.10000000149011612,0.02098805501914637,1635,2518,0.8176964508314322,0.9825951972152316,1.0,1.0,0.966157908032302,0.9863975573840048,0.9792041756825952,0.6493248610007942,4153,0.9827877039634285,0.10000000149011612,0.02098805501914637,1635,2518,0.8176964508314322,0.9825951972152316,1.0,1.0,0.966157908032302,0.9863975573840048,0.9792041756825952,0.6493248610007942,4153
Mouse,POLYIC_20190510_mouse38__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse38__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/native_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/probability_maps/mouse/POLYIC_20190510_mouse38__E2_P1_probability.nii.gz,0.9800098738058325,0.10000000149011612,0.024446425538030038,2521,2095,0.7931026048673108,0.9770820594350006,1.0,1.0,0.9608032946970662,0.9782052390421025,0.9818211794106417,1.2033412887828163,4616,0.9800141178712329,0.10000000149011612,0.02443820450517168,2520,2095,0.7931220037178358,0.9771059583211036,1.0,1.0,0.9608114534153052,0.9782136959773146,0.9818211794106417,1.2028639618138426,4615,0.9806292785108083,0.10000000149011612,0.02388280089196286,2766,1719,0.7993288264189485,0.9769466465638831,0.9999756821166286,0.9999756821166286,0.9619947462079484,0.9762148403573794,0.9850838221512617,1.6090750436300174,4485,0.9806335138683735,0.10000000149011612,0.02384204027757021,2765,1719,0.799348264876827,0.9769704044162351,1.0,1.0,0.9620028980840445,0.9762232350159085,0.9850838221512617,1.6084933100639907,4484
