domain,subject,baseline_dice,baseline_precision,baseline_recall,baseline_hd95_mm,baseline_false_positives,baseline_false_negatives,baseline_volume_ratio,baseline_connected_components,filter_dice,filter_precision,filter_recall,filter_hd95,filter_false_positives,filter_false_negatives,filter_volume_ratio,filter_connected_components,learned_dice,learned_precision,learned_recall,learned_hd95_mm,learned_false_positives,learned_false_negatives,learned_volume_ratio,learned_connected_components,learned_inference_seconds,image_path,ground_truth_path,baseline_prediction_path,filter_prediction_path,learned_prediction_path,learned_probability_path
Mouse,POLYIC_20190524_polyic___E4_P1_9,0.9556809389597947,0.9902854356559876,0.9234132223523033,0.30000000447034836,1036,8759,0.9324717794468684,1,0.9556809389597947,0.9902854356559876,0.9234132223523033,0.30000000447034836,1036,8759,0.9324717794468684,1,0.9537450531895582,0.9914981552601037,0.918761530861175,0.30000000447034836,901,9291,0.9266396775293573,1,9.240167415999963,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190524_polyic___E4_P1_9.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190524_polyic___E4_P1_9.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190524_polyic___E4_P1_9_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190524_polyic___E4_P1_9_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/learned_mouse/POLYIC_20190524_polyic___E4_P1_9_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/probability_maps/learned_mouse/POLYIC_20190524_polyic___E4_P1_9_probability.nii.gz
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,0.9602542293018904,0.9851175127104254,0.9366150936512985,0.22360680108197992,1616,7239,0.9507648392830562,3,0.9628212802169777,0.9905361607565019,0.9366150936512985,0.20000000298023224,1022,7239,0.9455637570376597,1,0.9585960175497806,0.9860578792423484,0.9326223436391815,0.22360680108197992,1506,7695,0.945808925897712,3,8.737028334000001,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190531_polyic_m__E3_P1_10.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190531_polyic_m__E3_P1_10.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190531_polyic_m__E3_P1_10_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190531_polyic_m__E3_P1_10_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/learned_mouse/POLYIC_20190531_polyic_m__E3_P1_10_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/probability_maps/learned_mouse/POLYIC_20190531_polyic_m__E3_P1_10_probability.nii.gz
Mouse,POLYIC_20190531_polyic_m__E3_P1_1,0.962095042914342,0.988471579108932,0.9370895920138476,0.22360680108197992,1210,6965,0.9480187511854976,1,0.962095042914342,0.988471579108932,0.9370895920138476,0.22360680108197992,1210,6965,0.9480187511854976,1,0.9605233790871555,0.989803643472511,0.9329256726852312,0.22360680108197992,1064,7426,0.9425361068709185,1,8.976660917000004,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190531_polyic_m__E3_P1_1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190531_polyic_m__E3_P1_1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190531_polyic_m__E3_P1_1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190531_polyic_m__E3_P1_1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/learned_mouse/POLYIC_20190531_polyic_m__E3_P1_1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/probability_maps/learned_mouse/POLYIC_20190531_polyic_m__E3_P1_1_probability.nii.gz
Mouse,POLYIC_20190531_polyic_m__E3_P1_11,0.9602112739225473,0.989849780449286,0.9322960654112391,0.22360680108197992,1098,7776,0.9418561117254229,3,0.9603662911691735,0.9901793062641434,0.9322960654112391,0.22360680108197992,1062,7776,0.941542667583781,1,0.9586478842842177,0.9911765252803243,0.9281864644371501,0.22360680108197992,949,8248,0.9364492002820998,2,8.757762083000046,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190531_polyic_m__E3_P1_11.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190531_polyic_m__E3_P1_11.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190531_polyic_m__E3_P1_11_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190531_polyic_m__E3_P1_11_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/learned_mouse/POLYIC_20190531_polyic_m__E3_P1_11_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/probability_maps/learned_mouse/POLYIC_20190531_polyic_m__E3_P1_11_probability.nii.gz
Mouse,POLYIC_20190524_polyic___E3_P1_4,0.9643762231597669,0.9877969922045046,0.9420403488730473,0.20000000298023224,1321,6579,0.9536780900361201,1,0.9643762231597669,0.9877969922045046,0.9420403488730473,0.20000000298023224,1321,6579,0.9536780900361201,1,0.9628316021859505,0.9895664788260894,0.9375033036736852,0.20000000298023224,1122,7094,0.9473878953396176,1,8.842958291999992,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190524_polyic___E3_P1_4.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190524_polyic___E3_P1_4.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190524_polyic___E3_P1_4_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190524_polyic___E3_P1_4_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/learned_mouse/POLYIC_20190524_polyic___E3_P1_4_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/probability_maps/learned_mouse/POLYIC_20190524_polyic___E3_P1_4_probability.nii.gz
Mouse,POLYIC_20190531_polyic_m__E3_P1_8,0.9584091331001295,0.990000191751836,0.9287718793350508,0.22360680108197992,1043,7919,0.9381532317544838,1,0.9584091331001295,0.990000191751836,0.9287718793350508,0.22360680108197992,1043,7919,0.9381532317544838,1,0.9569206148349398,0.9910574903154933,0.9250571156163989,0.22360680108197992,928,8332,0.9334040907373761,1,8.656864041999995,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190531_polyic_m__E3_P1_8.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190531_polyic_m__E3_P1_8.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190531_polyic_m__E3_P1_8_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190531_polyic_m__E3_P1_8_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/learned_mouse/POLYIC_20190531_polyic_m__E3_P1_8_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/probability_maps/learned_mouse/POLYIC_20190531_polyic_m__E3_P1_8_probability.nii.gz
Mouse,POLYIC_20190524_polyic___E4_P1_7,0.9632295327348074,0.9872373166638868,0.940361677573759,0.20000000298023224,1327,6510,0.9525183678704263,1,0.9632295327348074,0.9872373166638868,0.940361677573759,0.20000000298023224,1327,6510,0.9525183678704263,1,0.9618521045573254,0.9888444904554118,0.9362941790798659,0.22360680108197992,1153,6954,0.9468568497040987,1,8.753568583000003,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190524_polyic___E4_P1_7.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190524_polyic___E4_P1_7.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190524_polyic___E4_P1_7_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190524_polyic___E4_P1_7_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/learned_mouse/POLYIC_20190524_polyic___E4_P1_7_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/probability_maps/learned_mouse/POLYIC_20190524_polyic___E4_P1_7_probability.nii.gz
Mouse,POLYIC_20190524_polyic___E3_P1,0.9468031302037389,0.969327810208122,0.9253015079960007,0.4000000059604645,3258,8312,0.9545805848625915,3,0.9569492722662533,0.9908385780558117,0.9253015079960007,0.2828427166893039,952,8312,0.9338569656883009,1,0.9454443168665643,0.9709055092009433,0.9212843970738896,0.4000000059604645,3072,8759,0.9488919244387728,3,8.886941624999992,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190524_polyic___E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190524_polyic___E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190524_polyic___E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190524_polyic___E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/learned_mouse/POLYIC_20190524_polyic___E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/probability_maps/learned_mouse/POLYIC_20190524_polyic___E3_P1_probability.nii.gz
Mouse,POLYIC_20190531_polyic_m__E3_P1_6,0.9603860033266032,0.9901989929590496,0.9323157664612013,0.22360680108197992,1055,7738,0.9415438443035207,1,0.9603860033266032,0.9901989929590496,0.9323157664612013,0.22360680108197992,1055,7738,0.9415438443035207,1,0.959071141157822,0.9913825297830228,0.9287994751804067,0.22360680108197992,923,8140,0.9368729499234638,1,8.722491833999982,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190531_polyic_m__E3_P1_6.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190531_polyic_m__E3_P1_6.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190531_polyic_m__E3_P1_6_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190531_polyic_m__E3_P1_6_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/learned_mouse/POLYIC_20190531_polyic_m__E3_P1_6_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/probability_maps/learned_mouse/POLYIC_20190531_polyic_m__E3_P1_6_probability.nii.gz
Mouse,POLYIC_20190612_polyic___E3_P1_2,0.9668141095171818,0.98809819449536,0.9464276275265239,0.20000000298023224,1294,6081,0.9578275041846533,1,0.9668141095171818,0.98809819449536,0.9464276275265239,0.20000000298023224,1294,6081,0.9578275041846533,1,0.9655026168561631,0.9895218718209563,0.9426217954365255,0.20000000298023224,1133,6513,0.9526032948638886,2,9.108040000000074,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190612_polyic___E3_P1_2.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190612_polyic___E3_P1_2.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190612_polyic___E3_P1_2_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190612_polyic___E3_P1_2_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/learned_mouse/POLYIC_20190612_polyic___E3_P1_2_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/probability_maps/learned_mouse/POLYIC_20190612_polyic___E3_P1_2_probability.nii.gz
